name,type,lat,lon,address
Thảo Điền Market,Chợ,10.8023306,106.7281289,"Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Thanh My Loi Market,Chợ,10.7695209,106.7675745,"QQ99+R24, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Đo Đạc,Chợ,10.7943185,106.7344392,"Đ. Số 7, Khu Phố 4, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
District 7 Hospital,Bệnh viện,10.7373313,106.7241657,"101 Đ. Nguyễn Thị Thập, Phường Tân Mỹ, Quận 7, Thành phố Hồ Chí Minh 00700, Vietnam"
FV Hospital,Bệnh viện,10.7325029,106.7180068,"6 Nguyễn Lương Bằng, Phường Tân Mỹ, Quận 7, Thành phố Hồ Chí Minh 70000, Vietnam"
Tam Duc Cardiology Hospital,Bệnh viện,10.7333783,106.71793849999999,"4 Nguyễn Lương Bằng, Phường Tân Mỹ, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
South Saigon International General Hospital,Bệnh viện,10.735866099999999,106.69086709999999,"88 Đường Số 8, Khu dân cư Trung Sơn, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam"
Tân Hưng General Hospital,Bệnh viện,10.7512252,106.6963562,"871 Đ. Trần Xuân Soạn, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Phòng Khám Đa Khoa Quốc Tế Sài Gòn (SIG) - Quận 7,Bệnh viện,10.737843999999999,106.7033359,"441 Đ. Lê Văn Lương, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
Đại học RMIT Việt Nam - Cơ sở Nam Sài Gòn,Trường đại học,10.7292848,106.6939146,"Main gate - Cổng chính, 702 Đường Nguyễn Văn Linh, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
Ton Duc Thang University,Trường đại học,10.731931399999999,106.6993418,"19 Nguyễn Hữu Thọ, Phường, Quận 7, Thành phố Hồ Chí Minh 758307, Vietnam"
Nguyen Tat Thanh University - Nguyen Huu Tho Campus,Trường đại học,10.7431428,106.7015354,"3F Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Trường Đại học Nguyễn Tất Thành cơ sở Nguyễn Văn Quỳ,Trường đại học,10.7372892,106.732068,"38 Nguyễn Văn Quỳ, Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Trường đại học CNTT Gia Định,Trường đại học,10.735741899999999,106.7006598,"289/6 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Đại Học Cảnh Sát Nhân Dân,Trường đại học,10.7352904,106.6979719,"36 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Đại học Fulbright Việt Nam,Trường đại học,10.7271261,106.72048869999999,"105 Đ. Tôn Dật Tiên, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
